eta,U,Omega,Omega1,E,Einf,Ebinding,sig_r,sig_R
0,0.001,4.54E-05,4.54E-05,0.000130824,-5.31E-08,2466.968374,1.48E+02,1.48E+02
0,0.817306122,0.009722137,0.017405669,-0.040685307,-0.035437933,-0.148072227,1.01E+01,7.58E+00
0,1.633612245,0.038836604,0.069524577,-0.162542169,-0.141578347,-0.148072237,5.07E+00,3.79E+00
0,2.449918367,0.087349078,0.156369801,-0.365570648,-0.318421295,-0.148072237,3.38E+00,2.53E+00
0,3.26622449,0.155248502,0.27791958,-0.649770744,-0.565966777,-0.148072237,2.54E+00,1.90E+00
0,4.082530612,0.242552827,0.4342085,-1.015142456,-0.884214794,-0.148072237,2.03E+00,1.52E+00
0,4.898836735,0.349249904,0.625210419,-1.461685785,-1.273165344,-0.148072237,1.69E+00,1.26E+00
0,5.715142857,0.475335492,0.850929396,-1.98940073,-1.732818429,-0.148072237,1.45E+00,1.08E+00
0,6.53144898,0.620818967,1.111365083,-2.598287292,-2.263174048,-0.148072237,1.27E+00,9.49E-01
0,7.347755102,0.785700096,1.406530367,-3.288345471,-2.864232201,-0.148072237,1.13E+00,8.43E-01
0,8.164061224,0.969975725,1.736409207,-4.059575265,-3.535992888,-0.148072237,1.02E+00,7.59E-01
0,8.980367347,1.173642366,2.101008496,-4.911976677,-4.278456109,-0.148072237,9.23E-01,6.90E-01
0,9.796673469,1.396704796,2.5003267,-5.845549705,-5.091621864,-0.148072237,8.46E-01,6.32E-01
0,10.61297959,1.639163275,2.934369557,-6.860294349,-5.975490154,-0.148072237,7.81E-01,5.84E-01
0,11.42928571,1.901014577,3.403122361,-7.956210611,-6.930060978,-0.148072237,7.25E-01,5.42E-01
0,12.24559184,2.182262649,3.906602262,-9.133298488,-7.955334336,-0.148072237,6.77E-01,5.06E-01
0,13.06189796,2.482905272,4.444801502,-10.39155798,-9.051310227,-0.148072237,6.35E-01,4.74E-01
0,13.87820408,2.802942762,5.017716615,-11.73098909,-10.21798865,-0.148072237,5.97E-01,4.46E-01
0,14.6945102,3.142364559,5.625378385,-13.15159182,-11.45536961,-0.148072237,5.64E-01,4.22E-01
0,15.51081633,3.501171797,6.267578847,-14.65336616,-12.76345311,-0.148072237,5.34E-01,3.99E-01
0,16.32712245,3.879430148,6.944767142,-16.23631212,-14.14223914,-0.148072237,5.08E-01,3.79E-01
0,17.14342857,4.277022643,7.656564136,-17.9004297,-15.5917277,-0.148072237,4.84E-01,3.61E-01
0,17.95973469,4.694053534,8.403110354,-19.6457189,-17.1119188,-0.148072237,4.62E-01,3.45E-01
0,18.77604082,5.130454479,9.184339181,-21.47217971,-18.70281243,-0.148072237,4.41E-01,3.30E-01
0,19.59234694,5.586252519,10.00029296,-23.37981213,-20.36440859,-0.148072237,4.23E-01,3.16E-01
0,20.40865306,6.061442269,10.85096179,-25.36861617,-22.09670729,-0.148072237,4.06E-01,3.04E-01
0,21.22495918,6.556031848,11.73636832,-27.43859183,-23.89970852,-0.148072237,3.91E-01,2.92E-01
0,22.04126531,7.070028927,12.65648836,-29.58973911,-25.77341229,-0.148072237,3.76E-01,2.81E-01
0,22.85757143,7.603391036,13.61129995,-31.822058,-27.71781859,-0.148072237,3.63E-01,2.71E-01
0,23.67387755,8.15616925,14.60086342,-34.13554851,-29.73292743,-0.148072237,3.50E-01,2.62E-01
0,24.49018367,8.728335305,15.6251383,-36.53021064,-31.8187388,-0.148072237,3.38E-01,2.53E-01
0,25.3064898,9.319903489,16.684148,-39.00604438,-33.9752527,-0.148072237,3.28E-01,2.45E-01
0,26.12279592,9.93085641,17.77785745,-41.56304974,-36.20246914,-0.148072237,3.17E-01,2.37E-01
0,26.93910204,10.56120359,18.90626685,-44.20122672,-38.50038811,-0.148072237,3.08E-01,2.30E-01
0,27.75540816,11.21095993,20.06942641,-46.92057531,-40.86900962,-0.148072237,2.99E-01,2.23E-01
0,28.57171429,11.88009121,21.26728021,-49.72109552,-43.30833366,-0.148072237,2.90E-01,2.17E-01
0,29.38802041,12.56861768,22.49984375,-52.60278734,-45.81836024,-0.148072237,2.82E-01,2.11E-01
0,30.20432653,13.2765584,23.76718675,-55.56565078,-48.39908935,-0.148072237,2.74E-01,2.05E-01
0,31.02063265,14.00388292,25.06921237,-58.60968584,-51.05052099,-0.148072237,2.67E-01,2.00E-01
0,31.83693878,14.75062808,26.40600273,-61.73489252,-53.77265517,-0.148072237,2.60E-01,1.95E-01
0,32.6532449,15.51672926,27.77745104,-64.94127081,-56.56549188,-0.148072237,2.54E-01,1.90E-01
0,33.46955102,16.30225501,29.18366218,-68.22882072,-59.42903112,-0.148072237,2.48E-01,1.85E-01
0,34.28585714,17.10714815,30.62455515,-71.59754224,-62.3632729,-0.148072237,2.42E-01,1.81E-01
0,35.10216327,17.9314444,32.10017256,-75.04743538,-65.36821722,-0.148072237,2.36E-01,1.77E-01
0,35.91846939,18.77514882,33.61054212,-78.57850014,-68.44386406,-0.148072237,2.31E-01,1.72E-01
0,36.73477551,19.6382296,35.1556026,-82.19073651,-71.59021345,-0.148072237,2.26E-01,1.69E-01
0,37.55108163,20.52074865,36.73540589,-85.8841445,-74.80726536,-0.148072237,2.21E-01,1.65E-01
0,38.36738776,21.42260393,38.34991582,-89.65872411,-78.09501981,-0.148072237,2.16E-01,1.61E-01
0,39.18369388,22.34384879,39.99909666,-93.51447533,-81.4534768,-0.148072237,2.12E-01,1.58E-01
0,40,23.2845384,41.68307689,-97.45139817,-84.88263632,-0.148072237,2.07E-01,1.55E-01
