eta,U,a_inf,s_inf,y_inf,E_inf
0.0,30.0,0.0,0.25066280115920864,500.0,-47.74648292756808
0.003409090909090909,30.0,0.0,0.2515224255783447,500.0,-47.42068039774529
0.006818181818181818,30.0,0.0,0.25238795723072655,500.0,-47.09599324843527
0.010227272727272727,30.0,0.0,0.25325946712144537,500.0,-46.7724214796383
0.013636363636363636,30.0,0.0,0.2541370184378126,500.0,-46.44996509135441
0.017045454545454544,30.0,0.0,0.2550206658199958,500.0,-46.128624083583546
0.020454545454545454,30.0,0.0,0.2559104821584653,500.0,-45.80839845632574
0.02386363636363636,30.0,0.0,0.2568065283798753,500.0,-45.48928820958104
0.02727272727272727,30.0,0.0,0.2577088657980839,500.0,-45.17129334334938
0.03068181818181818,30.0,0.0,0.25861757900040133,500.0,-44.854413857630824
0.03409090909090909,30.0,0.0,0.2595327184479387,500.0,-44.53864975242529
0.0375,30.0,0.0,0.2604543464406739,500.0,-44.22400102773291
0.04090909090909091,30.0,0.0,0.26138259684626836,500.0,-43.91046768355235
0.04431818181818182,30.0,0.0,0.26231740864068875,500.0,-43.59804971988723
0.04772727272727272,30.0,0.0,0.26325895240280545,500.0,-43.28674713673409
0.05113636363636363,30.0,0.0,0.2642072989112755,500.0,-42.97655993409396
0.05454545454545454,30.0,0.0,0.26516248697289824,500.0,-42.66748811196691
0.05795454545454545,30.0,0.0,0.26612457323166033,500.0,-42.35953167035171
0.06136363636363636,30.0,0.0,0.26709375370052574,500.0,-42.05269060925202
0.06477272727272727,30.0,0.0,0.2680699757728378,500.0,-41.74696492866421
0.06818181818181818,30.0,0.0,0.2690533539220083,500.0,-41.44235462858947
0.0715909090909091,30.0,0.0,0.2700439823678687,500.0,-41.1388597090278
0.075,30.0,0.0,0.2710419303031801,500.0,-40.836480169979176
0.0784090909090909,30.0,0.0,0.2720472774751214,500.0,-40.53521601144365
0.08181818181818182,30.0,0.0,0.273060109927433,500.0,-40.23506723342119
0.08522727272727272,30.0,0.0,0.2740805207170353,500.0,-39.93603383591179
0.08863636363636364,30.0,0.0,0.27510858096856505,500.0,-39.63811581891548
0.09204545454545454,30.0,0.0,0.27614438021718957,500.0,-39.341313182432245
0.09545454545454544,30.0,0.0,0.27718801767275636,500.0,-39.04562592646203
0.09886363636363636,30.0,0.0,0.27823956583089754,500.0,-38.75105405100494
0.10227272727272727,30.0,0.0,0.2792991188703876,500.0,-38.457597556060975
0.10568181818181818,30.0,0.0,0.28036678688216304,500.0,-38.165256441629886
0.10909090909090909,30.0,0.0,0.28144264136286656,500.0,-37.87403070771197
0.11249999999999999,30.0,0.0,0.2825267839824822,500.0,-37.58392035430713
0.1159090909090909,30.0,0.0,0.2836193153019895,500.0,-37.294925381415226
0.11931818181818181,30.0,0.0,0.2847203254541151,500.0,-37.007045789036496
0.12272727272727273,30.0,0.0,0.28582991794181106,500.0,-36.72028157717082
0.12613636363636363,30.0,0.0,0.2869481520423481,500.0,-36.434632745818995
0.12954545454545455,30.0,0.0,0.2880752136387446,500.0,-36.15009929497954
0.13295454545454544,30.0,0.0,0.2892111512666939,500.0,-35.86668122465321
0.13636363636363635,30.0,0.0,0.29035608429933957,500.0,-35.584378534839956
0.13977272727272727,30.0,0.0,0.29151013624555067,500.0,-35.30319122553971
0.1431818181818182,30.0,0.0,0.29267337510331703,500.0,-35.023119296752625
0.14659090909090908,30.0,0.0,0.29384594308247397,500.0,-34.74416274847859
0.15,30.0,0.0,0.2950279556724184,500.0,-34.46632158071759
