s,y,I_fin,yinf,I_inf
1.0,1.0,1.26315176132974,1000.0,1.00228000374158
1.3877551020408163,1.0,1.18046256885013,1000.0,1.00113388721937
1.7755102040816326,1.0,1.12286782581985,1000.0,1.00067904393197
2.163265306122449,1.0,1.08345048060401,1000.0,1.00044435374445
2.5510204081632653,1.0,1.05663998616457,1000.0,1.00029886044005
2.9387755102040813,1.0,1.03843656314556,1000.0,1.00020239278836
3.326530612244898,1.0,1.0260825055481,1000.0,1.00013727908255
3.7142857142857144,1.0,1.01769906851228,1000.0,1.0000931458409
4.1020408163265305,1.0,1.01201021338043,1000.0,1.00006320549244
4.489795918367347,1.0,1.00814987350012,1000.0,1.00004288970491
4.877551020408163,1.0,1.00553032910214,1000.0,1.00002910400539
5.26530612244898,1.0,1.00375276247428,1000.0,1.00001974934867
5.653061224489796,1.0,1.0025465439535,1000.0,1.00001340148295
6.040816326530612,1.0,1.00172802999029,1000.0,1.00000909395819
6.428571428571429,1.0,1.00117260400816,1000.0,1.00000617096455
6.816326530612245,1.0,1.0007957038753,1000.0,1.0000041874839
7.204081632653061,1.0,1.00053994754645,1000.0,1.00000284153657
7.591836734693877,1.0,1.00036639679907,1000.0,1.00000192820564
7.979591836734693,1.0,1.0002486289923,1000.0,1.0000013084389
8.36734693877551,1.0,1.00016871429,1000.0,1.00000088787851
8.755102040816325,1.0,1.00011448589075,1000.0,1.00000060249527
9.142857142857142,1.0,1.00007768766463,1000.0,1.00000040884034
9.53061224489796,1.0,1.00005271717936,1000.0,1.00000027743027
9.918367346938775,1.0,1.00003577274478,1000.0,1.00000018825822
10.306122448979592,1.0,1.00002427461568,1000.0,1.00000012774798
10.693877551020408,1.0,1.00001647223243,1000.0,1.00000008668703
11.081632653061224,1.0,1.00001117770286,1000.0,1.00000005882396
11.46938775510204,1.0,1.0000075849489,1000.0,1.00000003991667
11.857142857142858,1.0,1.00000514698329,1000.0,1.0000000270866
12.244897959183673,1.0,1.00000349263223,1000.0,1.00000001838038
12.63265306122449,1.0,1.00000237002516,1000.0,1.00000001247253
13.020408163265305,1.0,1.00000160824813,1000.0,1.00000000846359
13.408163265306122,1.0,1.00000109132261,1000.0,1.00000000574321
13.795918367346939,1.0,1.00000074054807,1000.0,1.00000000389722
14.183673469387754,1.0,1.00000050252,1000.0,1.00000000264457
14.571428571428571,1.0,1.00000034099927,1000.0,1.00000000179455
14.959183673469386,1.0,1.00000023139478,1000.0,1.00000000121774
15.346938775510203,1.0,1.00000015701952,1000.0,1.00000000082633
15.73469387755102,1.0,1.00000010655007,1000.0,1.00000000056073
16.122448979591837,1.0,1.00000007230259,1000.0,1.0000000003805
16.51020408163265,1.0,1.00000004906298,1000.0,1.0000000002582
16.89795918367347,1.0,1.00000003329309,1000.0,1.00000000017521
17.285714285714285,1.0,1.00000002259197,1000.0,1.00000000011889
17.6734693877551,1.0,1.00000001533043,1000.0,1.00000000008068
18.06122448979592,1.0,1.0000000104029,1000.0,1.00000000005475
18.448979591836736,1.0,1.00000000705918,1000.0,1.00000000003715
18.83673469387755,1.0,1.00000000479021,1000.0,1.00000000002521
19.224489795918366,1.0,1.00000000325053,1000.0,1.00000000001711
19.612244897959183,1.0,1.00000000220574,1000.0,1.00000000001161
20.0,1.0,1.00000000149677,1000.0,1.00000000000788
