eta,U,Omega,Omega1,E,Einf,Ebinding
0.0,0.001,4.5399929762484854e-05,4.5399929762484854e-05,0.00011148378545043278,-5.305164769729845e-08,2102.419848192762
0.0,0.8173061224489796,0.0023957480954352787,0.0056598463842002945,-0.009252051352314695,-0.03543793289205807,0.7389223750579381
0.0,1.633612244897959,0.009569225093782047,0.022609745597220926,-0.03696293935510914,-0.14157834687400395,0.7389223693365774
0.0,2.4499183673469385,0.02151813438269686,0.05085091930825521,-0.08313267713188555,-0.3184212949974853,0.7389223697097831
0.0,3.2662244897959183,0.03825001926780923,0.09038330785377298,-0.14776126566506287,-0.5659667772625022,0.7389223685889085
0.0,4.0825306122448985,0.059759538265682206,0.1412086266221918,-0.23084870401429458,-0.884214793669055,0.7389223685611656
0.0,4.8988367346938775,0.08604499088615515,0.20331907252639433,-0.33239499244314796,-1.2731653442171424,0.7389223686044215
0.0,5.715142857142857,0.11711648672108631,0.2767398474365175,-0.45240013101809406,-1.732818428906766,0.7389223686272122
0.0,6.531448979591837,0.15295665044348475,0.36142915519820246,-0.5908641199188271,-2.2631740477379254,0.7389223685604719
0.0,7.347755102040817,0.19357905361311906,0.45741766334504363,-0.7477869588544581,-2.86423220071062,0.7389223685604361
0.0,8.164061224489796,0.23898075781528852,0.5646978230794997,-0.9231686479376897,-3.5359928878248494,0.7389223685612182
0.0,8.980367346938776,0.2891569145424431,0.6832555010739655,-1.1170091870424548,-4.278456109080615,0.7389223685918598
0.0,9.796673469387754,0.34411755939226335,0.813132701777885,-1.3293085765640233,-5.091621864477914,0.7389223685603903
0.0,10.612979591836734,0.40385392072218335,0.9542856628198023,-1.560066816101335,-5.975490154016751,0.7389223685604015
0.0,11.429285714285713,0.4683687712071092,1.1067324339494578,-1.8092839057886305,-6.9300609776971225,0.7389223685604769
0.0,12.245591836734693,0.5376613341253046,1.2704684274173224,-2.076959845625437,-7.955334335519031,0.7389223685606509
0.0,13.061897959183673,0.6117297317499156,1.4454862247679414,-2.363094635596388,-9.051310227482473,0.7389223685625834
0.0,13.878204081632653,0.6905835115804903,1.6318147287180191,-2.667688275755072,-10.217988653587453,0.7389223685604243
0.0,14.694510204081633,0.7742118300089774,1.8294234149207962,-2.9907407660454393,-11.455369613833968,0.7389223685603562
0.0,15.510816326530612,0.8626181268881264,2.0383254830480158,-3.3322521064829846,-12.763453108222016,0.7389223685605583
0.0,16.327122448979594,0.9558038172614535,2.2585165060892103,-3.692222297076029,-14.142239136751607,0.7389223685603642
0.0,17.143428571428572,1.0537678885491006,2.4900001386844526,-4.070651337817182,-15.591727699422725,0.7389223685603555
0.0,17.959734693877554,1.1565054233323853,2.7327693518432015,-4.467539228692065,-17.111918796235386,0.7389223685613258
0.0,18.77604081632653,1.2640297622878431,2.986839482905112,-4.882885969749967,-18.702812427189574,0.7389223685603895
0.0,19.59234693877551,1.3763271248646924,3.2521938962857915,-5.316691560938903,-20.364408592285297,0.7389223685605563
0.0,20.40865306122449,1.4933992261520976,3.528822249917639,-5.768956002229562,-22.096707291522566,0.7389223685629022
0.0,21.22495918367347,1.6152693849113204,3.816798007153909,-6.239679293758019,-23.899708524901357,0.7389223685612386
0.0,22.04126530612245,1.7418973490147303,4.116014819225631,-6.7288614354229175,-25.773412292421696,0.7389223685603539
0.0,22.85757142857143,1.8733098859781483,4.426535272081212,-7.2365024272168625,-27.71781859408356,0.7389223685603631
0.0,23.67387755102041,2.0095009034978997,4.748349843869649,-7.762602269161455,-29.732927429886974,0.7389223685603646
0.0,24.49018367346939,2.1504680936356255,5.081447389269375,-8.307160961252897,-31.81873879983191,0.7389223685604791
0.0,25.30648979591837,2.296220367619043,5.425851527475861,-8.870178503502089,-33.97525270391839,0.7389223685603644
0.0,26.12279591836735,2.446748416949644,5.781539480667925,-9.45165489589629,-36.2024691421464,0.7389223685604138
0.0,26.939102040816326,2.6020499489386517,6.148512632033104,-10.051590138444674,-38.500388114515935,0.7389223685603604
0.0,27.755408163265308,2.7621337053404305,6.526782044853813,-10.66998423114174,-40.869009621027026,0.7389223685603564
0.0,28.571714285714286,2.9269956242713615,6.916346057274695,-11.306837173987262,-43.30833366167964,0.7389223685603991
0.0,29.388020408163268,3.0966386594004502,7.317194431793987,-11.962148966984195,-45.8183602364738,0.738922368560416
0.0,30.204326530612246,3.2710537123055943,7.729334865944403,-12.635919610134842,-48.399089345409486,0.7389223685603638
0.0,31.020632653061227,3.450242451547857,8.15274852594936,-13.328149103408435,-51.05052098848671,0.7389223685608557
0.0,31.836938775510205,3.634229540819367,8.58750128406419,-14.038837446881843,-53.77265516570547,0.7389223685603798
0.0,32.65324489795918,3.8229810626459764,9.033514035383334,-14.767984640481458,-56.56549187706575,0.7389223685603789
0.0,33.46955102040816,4.016513871739998,9.49080132569332,-15.515590684206657,-59.42903112256759,0.7389223685607964
0.0,34.28585714285714,4.214825173869287,9.959420076635613,-16.281655578132998,-62.363272902210944,0.7389223685603619
0.0,35.10216326530612,4.417914800118505,10.439307024390189,-17.066179322184468,-65.36821721599584,0.7389223685603543
0.0,35.9184693877551,4.625781012388767,10.93048537492155,-17.869161916385636,-68.4438640639223,0.7389223685603584
0.0,36.73477551020408,4.838428140302775,11.432959216429357,-18.69060336073784,-71.59021344599027,0.738922368560354
0.0,37.55108163265306,5.055860989063523,11.946739367996452,-19.53050365523025,-74.80726536219976,0.7389223685604869
0.0,38.36738775510204,5.27806125552701,12.471789346202396,-20.388862799888813,-78.0950198125508,0.7389223685604075
0.0,39.183693877551015,5.505043882927736,13.00813674794856,-21.26568079469051,-81.45347679704338,0.7389223685604245
0.0,40.0,5.736791035954577,13.555754907742351,-22.160957639642362,-84.88263631567752,0.7389223685604436
