eta,U,a,s,y,E_bi
0.0,0.001,1,84.45626725838603,1e-05,0.00034555928882492334
0.0,0.203010101010101,1,9.455678951349249,1.1027894752429181,-0.07286885550944786
0.0,0.405020202020202,1,6.917333912903499,1.105417424584077,-0.1887013738111726
0.0,0.607030303030303,1,5.856410744923933,1.1096741481239254,-0.31814347177226165
0.0,0.809040404040404,1,5.231226154433115,1.1156257277965753,-0.4552554599485759
0.0,1.011050505050505,1,4.8048324559494695,1.1229801166660953,-0.5975258475161256
0.0,1.213060606060606,1,4.488872194927382,1.1315936436451604,-0.7435948559748136
0.0,1.415070707070707,1,4.242220629960061,1.141530896621188,-0.8926219551444745
0.0,1.617080808080808,1,4.042290269397672,1.1525854874113366,-1.0440421059868115
0.0,1.8190909090909089,1,3.8755741661487924,1.164779858788806,-1.1974527341191235
0.0,2.02110101010101,1,3.734000539684273,1.178345635862939,-1.3525545289236407
0.0,2.223111111111111,1,3.6115170633204063,1.1930729843626298,-1.5091176022020272
0.0,2.425121212121212,1,3.5041165185355516,1.2088314125077644,-1.6669608430101768
0.0,2.6271313131313128,1,3.4088418425066873,1.2264662197307998,-1.825938654452298
0.0,2.829141414141414,1,3.323545934322308,1.2453665907691187,-1.985932071131018
0.0,3.0311515151515147,1,3.246529572729243,1.2659691340088823,-2.146842637863672
0.0,3.233161616161616,1,3.176477146514621,1.2884979125933032,-2.308588064710018
0.0,3.435171717171717,1,3.1123280239741358,1.313300198545609,-2.4710991067387544
0.0,3.637181818181818,1,3.0531538410280046,1.3410603766918807,-2.6343173171233003
0.0,3.839191919191919,1,2.998338691436754,1.3722072773376572,-2.7981934734186305
0.0,4.041202020202021,1,2.9471842306060787,1.4081634842974902,-2.962686613293635
0.0,4.243212121212121,1,2.899145700987164,1.4510815550061273,-3.1277637768783926
0.0,4.445222222222222,1,2.85362889973241,1.5053805709983414,-3.2934010280189097
0.0,4.647232323232323,1,2.80974892368679,1.5840230978673795,-3.459588493606792
0.0,4.849242424242425,1,2.7342854236974894,3.202589060812191,-3.628404383872179
0.0,5.051252525252526,1,2.694262563323282,3.2125375736812205,-3.7965188353756125
0.0,5.253262626262626,1,2.6563098851889273,3.2225681226800194,-3.965111516842344
0.0,5.455272727272727,1,2.6202842976813248,3.2323602652496177,-4.134159385043307
0.0,5.6572828282828285,1,2.5859827839438814,3.2411314080558378,-4.303641373417391
0.0,5.85929292929293,1,2.5533016443624095,3.2498149683743627,-4.473538160483315
0.0,6.06130303030303,1,2.522069608744398,3.257665797231363,-4.643831968703445
0.0,6.263313131313131,1,2.492211975516493,3.26515810798773,-4.814506394067592
0.0,6.465323232323232,1,2.4636007653658782,3.2724204861582176,-4.985546258647739
0.0,6.667333333333334,1,2.4361435650706005,3.2794864636211924,-5.156937483190038
0.0,6.869343434343435,1,2.409776994885191,3.2860530386988596,-5.328666976640732
0.0,7.071353535353535,1,2.3844146176052035,3.2925398362968736,-5.500722539299854
0.0,7.273363636363636,1,2.3600085739036847,3.298822867489322,-5.673092778338605
0.0,7.4753737373737374,1,2.3364431666349748,3.304763984855263,-5.845767033490113
0.0,7.677383838383839,1,2.313725246667175,3.310832087325722,-6.018735310902178
0.0,7.879393939393939,1,2.2917879234524428,3.316382260500517,-6.191988224447156
0.0,8.08140404040404,1,2.270551275984364,3.3223754168562247,-6.365516946161111
0.0,8.283414141414141,1,2.2500006253655997,3.3275879557447463,-6.53931315517863
0.0,8.48542424242424,1,2.2301387582267918,3.3335296806232972,-6.713369003753754
0.0,8.687434343434342,1,2.2108336178234014,3.3389116906831444,-6.887677071432801
0.0,8.889444444444443,1,2.192138535330744,3.3442070760052696,-7.062230338607452
0.0,9.091454545454544,1,2.173974043804355,3.349457939838744,-7.237022153337836
0.0,9.293464646464646,1,2.1563327623990736,3.3546004236681166,-7.412046204723072
0.0,9.495474747474747,1,2.139187243906456,3.3597095697954753,-7.587296498211583
0.0,9.697484848484848,1,2.1224910408855857,3.364891808014715,-7.762767333025704
0.0,9.89949494949495,1,2.1062698556293884,3.369693172308771,-7.938453282881722
0.0,10.10150505050505,1,2.0904528136707916,3.37461145850673,-8.11434917526137
0.0,10.30351515151515,1,2.0750639353095477,3.3795341831422308,-8.290450076545135
0.0,10.505525252525251,1,2.060027369861171,3.384303284949786,-8.46675127582363
0.0,10.707535353535352,1,2.045376147365591,3.3891362026637837,-8.643248269950412
0.0,10.909545454545453,1,2.0310728741627377,3.3938518072330592,-8.819936751520004
0.0,11.111555555555555,1,2.0171140195470634,3.3984567837657385,-8.996812596200982
0.0,11.313565656565656,1,2.0034756863811896,3.4031583049812886,-9.17387185189358
0.0,11.515575757575757,1,1.9901405783659123,3.4077194080872206,-9.351110728371419
0.0,11.717585858585858,1,1.977110322343906,3.412183418749764,-9.528525587865202
0.0,11.91959595959596,1,1.9643657261963456,3.4167729119872403,-9.706112936959945
0.0,12.121606060606059,1,1.951893499280872,3.4213977587626467,-9.883869417214576
0.0,12.32361616161616,1,1.9396873469466103,3.4259044935892202,-10.061791798382167
0.0,12.525626262626261,1,1.9277427316956612,3.429810783687728,-10.239876968790457
0.0,12.727636363636362,1,1.9160283204915036,3.434844159481535,-10.418121942975695
0.0,12.929646464646463,1,1.9045577187227913,3.439281761323558,-10.596523826596878
0.0,13.131656565656565,1,1.893316643945698,3.443630791689188,-10.775079839945956
0.0,13.333666666666666,1,1.8822633417428472,3.447923219278633,-10.953787297821378
0.0,13.535676767676767,1,1.8714691236395122,3.4522705587956906,-11.132643609139695
0.0,13.737686868686868,1,1.8608569483707822,3.4566713302110657,-11.311646269187108
0.0,13.939696969696968,1,1.8504444003024698,3.4610056711722454,-11.490792858038802
0.0,14.141707070707069,1,1.8402188191732594,3.4649034977620734,-11.670081033855169
0.0,14.34371717171717,1,1.8301820884254587,3.4694636914165904,-11.849508537665622
0.0,14.545727272727271,1,1.8203232768301068,3.473793301710659,-12.029073173065038
0.0,14.747737373737372,1,1.810636991272892,3.4780541644661036,-12.208772818942855
0.0,14.949747474747474,1,1.801117076152888,3.482332151043514,-12.388605418962602
0.0,15.151757575757575,1,1.7917569513456946,3.48649956430265,-12.568568979756048
0.0,15.353767676767676,1,1.7825607087256843,3.490701423391207,-12.7486615681955
0.0,15.555777777777777,1,1.7735131635958208,3.494864760694924,-12.928881308744824
0.0,15.757787878787877,1,1.7646368410181306,3.4990920943034176,-13.10922638058521
0.0,15.959797979797978,1,1.755860888593421,3.5032081005500038,-13.289695017483059
0.0,16.161808080808083,1,1.7472469270539408,3.507332215384017,-13.470285501071288
0.0,16.363818181818182,1,1.7387643414411649,3.511475209308356,-13.65099616326544
0.0,16.565828282828285,1,1.7304141638538288,3.515427298471213,-13.831825381768754
0.0,16.767838383838384,1,1.7221985130327462,3.519678255145346,-14.012771579835512
0.0,16.969848484848484,1,1.714098181430594,3.523738859095599,-14.193833222172623
0.0,17.171858585858587,1,1.7061225508995177,3.5278043256357714,-14.375008815469757
0.0,17.373868686868686,1,1.698267916243474,3.5319059701031588,-14.556296905817351
0.0,17.57587878787879,1,1.6905249979644619,3.53595610001221,-14.73769607721808
0.0,17.77788888888889,1,1.6828970895222426,3.5400149663267158,-14.919204950281879
0.0,17.97989898989899,1,1.6753792012572932,3.5440280657001613,-15.10082218076226
0.0,18.18190909090909,1,1.667962492953589,3.5480826915812758,-15.282546458354423
0.0,18.383919191919194,1,1.6606475040978768,3.5518748182156803,-15.46437650439289
0.0,18.585929292929293,1,1.6534452374485822,3.5560837467430555,-15.646311075156802
0.0,18.787939393939393,1,1.6463394596587906,3.560035322612761,-15.828348951913322
0.0,18.989949494949496,1,1.6393140627855403,3.564122510995423,-16.0104889493527
0.0,19.191959595959595,1,1.6323919072429376,3.5680591617917736,-16.192729908127852
0.0,19.393969696969698,1,1.6255605232751227,3.5720362172093756,-16.375070697193582
0.0,19.595979797979798,1,1.6188166186747497,3.576111822927259,-16.557510211459753
0.0,19.7979898989899,1,1.6121645876549784,3.5800473933639605,-16.740047371097983
0.0,20.0,1,1.6055967866249978,3.58401689523001,-16.922681120883873
